topic_id,count,name,keywords,scores
72,3164,72_ptp_pt_enhanced_batch,"ptp, pt, enhanced, batch, phase, bmt, months, weeks, admin, training","0.0503, 0.0195, 0.0136, 0.0134, 0.0096, 0.0090, 0.0075, 0.0070, 0.0063, 0.0063"
73,1841,73_female_females_sign_signing,"female, females, sign, signing, she, girls, army, male, career, her","0.0214, 0.0108, 0.0076, 0.0066, 0.0061, 0.0058, 0.0058, 0.0053, 0.0050, 0.0048"
74,1757,74_phone_camera_phones_zone,"phone, camera, phones, zone, red, bring, use, allowed, zones, iphone","0.0629, 0.0472, 0.0345, 0.0183, 0.0136, 0.0133, 0.0123, 0.0122, 0.0076, 0.0072"
75,2166,75_pcc_appointment_mo_scc,"pcc, appointment, mo, scc, appt, imh, psychiatrist, referral, referred, memo","0.0843, 0.0241, 0.0123, 0.0117, 0.0104, 0.0082, 0.0082, 0.0073, 0.0073, 0.0065"
76,1916,76_run_running_pace_4km,"run, running, pace, 4km, runs, intervals, distance, timing, km, interval","0.0331, 0.0241, 0.0210, 0.0205, 0.0153, 0.0142, 0.0132, 0.0124, 0.0120, 0.0117"
78,2459,78_deferment_defer_uni_apply,"deferment, defer, uni, apply, poly, studies, year, ns, deferred, university","0.0266, 0.0202, 0.0133, 0.0122, 0.0112, 0.0101, 0.0095, 0.0074, 0.0069, 0.0068"
80,1844,80_rso_rsi_sick_mc,"rso, rsi, sick, mc, ban, restrict, report, banned, safety, restricted","0.0680, 0.0291, 0.0114, 0.0099, 0.0098, 0.0091, 0.0070, 0.0062, 0.0054, 0.0053"
81,4631,81_was_he_his_guy,"was, he, his, guy, we, had, him, were, our, us","0.0082, 0.0069, 0.0062, 0.0061, 0.0060, 0.0057, 0.0053, 0.0050, 0.0048, 0.0047"
82,3931,82_conscription_singapore_national_service,"conscription, singapore, national, service, military, singaporean, singaporeans, country, our, serve","0.0160, 0.0128, 0.0087, 0.0073, 0.0071, 0.0068, 0.0064, 0.0061, 0.0054, 0.0053"
83,3791,83_citizenship_singapore_sg_pr,"citizenship, singapore, sg, pr, renounce, singaporean, citizen, passport, serve, ns","0.0277, 0.0187, 0.0132, 0.0127, 0.0113, 0.0111, 0.0106, 0.0092, 0.0075, 0.0068"
84,1479,84_thanks_advice_appreciated_advance,"thanks, advice, appreciated, advance, thank, help, any, appreciate, anyone, please","0.0322, 0.0313, 0.0291, 0.0266, 0.0218, 0.0212, 0.0205, 0.0195, 0.0175, 0.0147"
85,1596,85_him_gift_bf_he,"him, gift, bf, he, his, flowers, snacks, gifts, wipes, give","0.0228, 0.0185, 0.0138, 0.0121, 0.0118, 0.0110, 0.0077, 0.0077, 0.0061, 0.0052"
